Time,THERMAL ZONE 1:MONTREAL INT'L ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:MONTREAL INT'L ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s]
00:10:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
00:20:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
00:30:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
00:40:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
00:50:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
01:00:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
01:10:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
01:20:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
01:30:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
01:40:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
01:50:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
02:00:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
02:10:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
02:20:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
02:30:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
02:40:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
02:50:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
03:00:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
03:10:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
03:20:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
03:30:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
03:40:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
03:50:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
04:00:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
04:10:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
04:20:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
04:30:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
04:40:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
04:50:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
05:00:00,3.642391E+04,0.000000E+00,1.631831E+00,0.000000E+00
05:10:00,3.828434E+04,0.000000E+00,1.715181E+00,0.000000E+00
05:20:00,4.013849E+04,0.000000E+00,1.798533E+00,0.000000E+00
05:30:00,4.198751E+04,0.000000E+00,1.882018E+00,0.000000E+00
05:40:00,4.383274E+04,0.000000E+00,1.965635E+00,0.000000E+00
05:50:00,4.567634E+04,0.000000E+00,2.049330E+00,0.000000E+00
06:00:00,4.751908E+04,0.000000E+00,2.133041E+00,0.000000E+00
