Time,THERMAL ZONE 1:MONTREAL INT'L ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:MONTREAL INT'L ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:MONTREAL INT'L ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:MONTREAL INT'L ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.643757E+04,0.000000E+00,1.177982E+00,0.000000E+00
00:20:00,2.643769E+04,0.000000E+00,1.177987E+00,0.000000E+00
00:30:00,2.643774E+04,0.000000E+00,1.177990E+00,0.000000E+00
00:40:00,2.643776E+04,0.000000E+00,1.177991E+00,0.000000E+00
00:50:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
01:00:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
01:10:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
01:20:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
01:30:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
01:40:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
01:50:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
02:00:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
02:10:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
02:20:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
02:30:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
02:40:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
02:50:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
03:00:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
03:10:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
03:20:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
03:30:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
03:40:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
03:50:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
04:00:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
04:10:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
04:20:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
04:30:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
04:40:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
04:50:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
05:00:00,2.643778E+04,0.000000E+00,1.177992E+00,0.000000E+00
05:10:00,2.542036E+04,0.000000E+00,1.132659E+00,0.000000E+00
05:20:00,2.423358E+04,0.000000E+00,1.079789E+00,0.000000E+00
05:30:00,2.302152E+04,0.000000E+00,1.025792E+00,0.000000E+00
05:40:00,2.180354E+04,0.000000E+00,9.715274E-01,0.000000E+00
05:50:00,2.058289E+04,0.000000E+00,9.171407E-01,0.000000E+00
06:00:00,1.936120E+04,0.000000E+00,8.627061E-01,0.000000E+00
06:10:00,1.876458E+04,0.000000E+00,8.361223E-01,0.000000E+00
06:20:00,1.833680E+04,0.000000E+00,8.170560E-01,0.000000E+00
06:30:00,1.793363E+04,0.000000E+00,7.990970E-01,0.000000E+00
06:40:00,1.753585E+04,0.000000E+00,7.813949E-01,0.000000E+00
06:50:00,1.714049E+04,0.000000E+00,7.638120E-01,0.000000E+00
07:00:00,1.674609E+04,9.753890E+01,7.462761E-01,1.022125E-02
07:10:00,1.674402E+04,4.860252E+02,7.462217E-01,5.029922E-02
